pid,day,session,trial,condition,cond_name,match,response,rt,acc
1,4,2,58,4,none,2,1,901,0
1,4,2,59,4,none,2,2,990,1
1,4,2,60,4,none,1,1,1539.999999999971,1
1,4,2,61,3,both,2,2,1437.999999999971,1
1,4,2,62,3,both,1,1,1411.999999999971,1
1,4,2,63,3,both,2,2,680,1
1,4,2,64,3,both,1,1,880,1
1,4,2,65,3,both,1,1,1076,1
1,4,2,66,3,both,1,1,586,1
1,4,2,67,3,both,2,2,601,1
1,4,2,68,3,both,2,2,834,1
1,4,2,69,3,both,2,2,936,1
1,4,2,70,3,both,1,2,1138.999999999971,0
1,4,2,71,2,tie,1,1,2160.999999999971,1
1,4,2,72,2,tie,1,1,550,1
1,4,2,73,2,tie,1,1,788,1
1,4,2,74,2,tie,1,1,1015.9999999999709,1
1,4,2,75,2,tie,2,2,860,1
1,4,2,76,2,tie,2,2,1110,1
1,4,2,77,2,tie,2,2,1113,1
1,4,2,78,2,tie,1,1,1347,1
1,4,2,79,2,tie,2,2,860,1
1,4,2,80,2,tie,2,2,1063,1
1,5,1,1,2,tie,1,1,1682,1
1,5,1,2,2,tie,2,2,1424.999999999999,1
1,5,1,3,2,tie,2,2,732,1
1,5,1,4,2,tie,2,2,926,1
1,5,1,5,2,tie,1,1,986,1
1,5,1,6,2,tie,1,1,1538,1
1,5,1,7,2,tie,1,1,925.9999999999964,1
1,5,1,8,2,tie,2,2,981,1
1,5,1,9,2,tie,1,2,791,0
1,5,1,10,2,tie,2,2,665,1
1,5,1,13,1,name,2,2,914,1
1,5,1,14,1,name,1,1,1395,1
1,5,1,15,1,name,2,2,1195,1
1,5,1,16,1,name,2,2,742,1
1,5,1,17,1,name,2,2,918,1
1,5,1,18,1,name,2,2,627,1
1,5,1,19,1,name,1,2,1400,0
1,5,1,20,1,name,1,1,1074,1
1,5,1,21,4,none,2,2,868,1
1,5,1,22,4,none,1,2,1128.9999999999927,0
1,5,1,23,4,none,2,2,962,1
1,5,1,24,4,none,1,1,869,1
1,5,1,25,4,none,1,1,1210.9999999999854,1
1,5,1,26,4,none,1,2,651,0
1,5,1,27,4,none,2,2,900,1
1,5,1,28,4,none,2,2,900,1
1,5,1,29,4,none,1,1,734.9999999999854,1
1,5,1,30,4,none,2,2,671,1
1,5,1,32,2,tie,2,2,1033.9999999999854,1
1,5,1,33,2,tie,1,1,1428,1
1,5,1,34,2,tie,2,2,1371,1
1,5,1,35,2,tie,2,2,1338,1
1,5,1,36,2,tie,2,2,872,1
1,5,1,37,2,tie,2,2,1208,1
1,5,1,38,2,tie,1,1,791,1
1,5,1,39,2,tie,1,1,1288,1
1,5,1,40,2,tie,1,1,893,1
1,5,1,41,3,both,2,2,917,1
1,5,1,42,3,both,2,2,884,1
1,5,1,43,3,both,2,2,1011,1
1,5,1,44,3,both,1,1,1727,1
1,5,1,45,3,both,2,2,1139.9999999999854,1
1,5,1,46,3,both,1,1,829.9999999999854,1
1,5,1,47,3,both,1,1,1057.9999999999854,1
1,5,1,48,3,both,1,2,1585.9999999999854,0
1,5,1,49,3,both,1,1,1342.999999999971,1
1,5,1,50,3,both,2,2,861,1
1,5,1,51,4,none,2,2,945,1
1,5,1,52,4,none,1,1,990,1
1,5,1,53,4,none,2,2,587.9999999999709,1
1,5,1,54,4,none,1,1,935,1
1,5,1,55,4,none,1,1,868,1
1,5,1,56,4,none,1,1,867,1
1,5,1,57,4,none,2,2,954,1
1,5,1,58,4,none,2,1,958,0
1,5,1,59,4,none,1,1,712,1
1,5,1,60,4,none,2,2,1483,1
1,5,1,61,3,both,2,1,1504,0
1,5,1,62,3,both,1,1,1027,1
1,5,1,63,3,both,2,2,532,1
1,5,1,64,3,both,1,1,606,1
1,5,1,65,3,both,1,1,760,1
1,5,1,66,3,both,2,2,994,1
1,5,1,67,3,both,1,1,671,1
1,5,1,68,3,both,2,1,1017,0
1,5,1,69,3,both,2,2,1184,1
1,5,1,70,3,both,1,1,961,1
1,5,1,71,1,name,1,1,986,1
1,5,1,72,1,name,2,2,712,1
1,5,1,74,1,name,1,1,1211,1
1,5,1,75,1,name,2,1,849,0
1,5,1,76,1,name,1,2,578,0
1,5,1,77,1,name,2,2,622,1
1,5,1,78,1,name,2,2,798.9999999999709,1
1,5,1,80,1,name,1,1,853,1
1,5,2,1,3,both,1,2,1544,0
1,5,2,2,3,both,1,1,1070,1
1,5,2,3,3,both,2,1,836.9999999999991,0
1,5,2,4,3,both,1,2,857,0
1,5,2,5,3,both,1,1,993,1
1,5,2,6,3,both,2,2,870,1
1,5,2,7,3,both,1,1,731,1
1,5,2,8,3,both,2,2,1129,1
1,5,2,9,3,both,2,2,1226,1
1,5,2,10,3,both,2,2,1039,1
1,5,2,11,4,none,2,2,894,1
1,5,2,12,4,none,2,2,1027,1
1,5,2,13,4,none,1,2,852,0
1,5,2,14,4,none,1,1,820,1
1,5,2,15,4,none,2,1,536,0
1,5,2,16,4,none,1,1,678.9999999999927,1
1,5,2,17,4,none,1,1,925,1
1,5,2,18,4,none,1,1,687,1
1,5,2,19,4,none,2,2,861,1
1,5,2,20,4,none,2,2,967,1
1,5,2,21,1,name,1,1,734,1
