pid,file,NAME,ID,RESPONSE,RT,STIM,GROUP,PICNOS1,PICNOS2,MATCH,ORTN1,ORTN2,PICID1,PICID2,DAY,SESSION
2,data/raw/S10.txt,al,al_06nov_behav55,2,749,55,2,44,58,2,2,1,20,39,1,1
2,data/raw/S10.txt,al,al_06nov_behav56,2,1016,56,2,48,43,2,3,1,26,20,1,1
2,data/raw/S10.txt,al,al_06nov_behav57,1,1103,57,2,35,36,1,2,3,8,8,1,1
2,data/raw/S10.txt,al,al_06nov_behav58,2,1246,58,2,31,38,2,1,2,5,11,1,1
2,data/raw/S10.txt,al,al_06nov_behav59,2,2178,59,2,59,31,2,2,1,39,5,1,1
2,data/raw/S10.txt,al,al_06nov_behav60,1,1321,60,2,40,42,1,1,3,17,17,1,1
2,data/raw/S10.txt,al,al_06nov_behav61,1,2100,61,3,69,67,1,3,1,10,10,1,1
2,data/raw/S10.txt,al,al_06nov_behav62,1,830,62,3,65,66,1,2,3,9,9,1,1
2,data/raw/S10.txt,al,al_06nov_behav63,2,957,63,3,85,63,2,1,3,23,3,1,1
2,data/raw/S10.txt,al,al_06nov_behav64,2,1198,64,3,83,85,2,2,1,22,23,1,1
2,data/raw/S10.txt,al,al_06nov_behav65,1,808,65,3,79,81,1,1,3,21,21,1,1
2,data/raw/S10.txt,al,al_06nov_behav66,2,739,66,3,63,70,2,3,1,3,16,1,1
2,data/raw/S10.txt,al,al_06nov_behav67,1,1160,67,3,73,74,1,1,2,18,18,1,1
2,data/raw/S10.txt,al,al_06nov_behav68,2,1164,68,3,72,88,2,3,1,16,36,1,1
2,data/raw/S10.txt,al,al_06nov_behav69,1,980,69,3,76,77,1,1,2,19,19,1,1
2,data/raw/S10.txt,al,al_06nov_behav70,2,944,70,3,89,84,2,2,3,36,22,1,1
2,data/raw/S10.txt,al,al_06nov_behav71,1,1026,71,2,52,53,1,1,2,33,33,1,1
2,data/raw/S10.txt,al,al_06nov_behav72,1,1702,72,2,48,46,1,3,1,26,26,1,1
2,data/raw/S10.txt,al,al_06nov_behav73,2,1023,73,2,55,39,2,1,3,37,11,1,1
2,data/raw/S10.txt,al,al_06nov_behav74,2,987,74,2,33,56,2,3,2,5,37,1,1
2,data/raw/S10.txt,al,al_06nov_behav75,2,1582,75,2,34,50,2,1,2,8,27,1,1
2,data/raw/S10.txt,al,al_06nov_behav76,1,1407,76,2,43,44,1,1,2,20,20,1,1
2,data/raw/S10.txt,al,al_06nov_behav77,NA,NA,77,2,41,40,1,2,1,17,17,1,1
2,data/raw/S10.txt,al,al_06nov_behav78,1,1595,78,2,59,58,1,2,1,39,39,1,1
2,data/raw/S10.txt,al,al_06nov_behav79,2,2170,79,2,38,34,2,2,1,11,8,1,1
2,data/raw/S10.txt,al,al_06nov_behav80,2,1472,80,2,51,31,2,3,1,27,5,1,1
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1582,1,4,112,92,2,1,2,30,1,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1127,2,4,98,102,2,2,3,7,14,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1231,3,4,108,106,1,3,1,25,25,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,868,4,4,120,118,1,3,1,35,35,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,940,5,4,95,96,1,2,3,6,6,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1049,6,4,115,117,1,1,3,31,31,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1163,7,4,102,109,2,3,1,14,28,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1194,8,4,110,114,2,2,3,28,30,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,964,9,4,103,104,1,1,2,15,15,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1890,10,4,91,99,2,1,3,1,7,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,994,11,1,30,2,2,3,2,40,2,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,2338,12,1,10,12,1,1,3,13,13,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,870,13,1,13,8,2,1,2,24,12,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1457,14,1,23,24,1,2,3,34,34,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1343,15,1,17,18,1,2,3,29,29,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1491,16,1,8,4,2,2,1,12,4,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1507,17,1,4,14,2,1,2,4,24,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1611,18,1,3,29,2,3,2,2,40,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,913,19,1,21,20,1,3,2,32,32,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1902,20,1,25,26,1,1,2,38,38,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1387,21,2,31,32,1,1,2,5,5,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1125,22,2,41,42,1,2,3,17,17,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,878,23,2,60,52,2,3,1,39,33,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1015,24,2,49,51,1,1,3,27,27,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,907,25,2,53,57,2,2,3,33,37,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1149,26,2,57,43,2,3,1,37,20,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,899,27,2,46,59,2,1,2,26,39,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1016,28,2,44,48,2,2,3,20,26,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1167,29,2,34,36,1,1,3,8,8,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,953,30,2,39,38,1,3,2,11,11,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,2089,31,3,90,68,2,3,2,36,10,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,873,32,3,73,75,1,1,3,18,18,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1056,33,3,62,78,2,2,3,3,19,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1367,34,3,85,86,1,1,2,23,23,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1319,35,3,69,71,2,3,2,10,16,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1328,36,3,76,63,2,1,3,19,3,2,2
